Wall time,Step,Value
1595373688.9779027,101.0,20.6086368560791
1595373784.7650788,102.0,34.897056579589844
1595373879.8205516,103.0,46.45505905151367
1595373975.6957033,104.0,57.08756637573242
1595374071.4745119,105.0,65.45689392089844
1595374166.4524186,106.0,73.7934799194336
1595374262.7014453,107.0,81.34669494628906
1595374356.9651134,108.0,88.23953247070312
1595374452.1527765,109.0,94.87540435791016
1595374547.90895,110.0,101.603515625
1595374643.428072,111.0,107.36410522460938
1595374739.8916247,112.0,112.57136535644531
1595374835.2767556,113.0,118.2483367919922
1595374930.4932938,114.0,123.77526092529295
1595375025.8906891,115.0,129.57681274414062
1595375121.505887,116.0,134.6087646484375
1595375217.2046998,117.0,138.98588562011722
1595375312.6929705,118.0,143.18630981445312
1595375408.3525095,119.0,147.83665466308594
1595375504.2354336,120.0,152.53221130371094
1595375599.9462125,121.0,157.2020263671875
1595375695.280875,122.0,162.2609405517578
1595375790.4958336,123.0,166.23377990722656
1595375886.227295,124.0,170.5221710205078
1595375981.1623962,125.0,174.07786560058594
1595376076.2490776,126.0,178.82003784179688
1595376171.8593132,127.0,182.59864807128903
1595376267.6114972,128.0,186.67645263671875
1595376363.0986516,129.0,190.8620758056641
1595376458.425588,130.0,194.864013671875
1595376554.368203,131.0,199.4521484375
1595376649.2467282,132.0,203.33670043945312
1595376744.5161762,133.0,207.59510803222656
1595376840.0710542,134.0,211.3108367919922
1595376935.2405415,135.0,214.0048828125
1595377029.9200847,136.0,217.75440979003903
1595377125.1824448,137.0,221.7256622314453
1595377220.319123,138.0,224.69625854492188
1595377316.0758507,139.0,227.0951690673828
1595377411.2336757,140.0,230.1625061035156
1595377506.6812398,141.0,233.97283935546875
1595377602.4749358,142.0,237.8514709472656
1595377697.7747927,143.0,240.8296661376953
1595377792.4687169,144.0,244.53167724609372
1595377888.2749252,145.0,247.8667755126953
1595377983.2834046,146.0,250.62094116210938
1595378077.6179914,147.0,254.12432861328125
1595378172.9128287,148.0,257.2266845703125
1595378268.4126403,149.0,260.25555419921875
1595378364.535117,150.0,263.6866455078125
1595378460.1230185,151.0,267.54852294921875
1595378556.7522984,152.0,270.62368774414057
1595378652.3916533,153.0,274.18228149414057
1595378748.212999,154.0,277.1893920898437
1595378843.6790426,155.0,280.57568359375
1595378939.519413,156.0,282.59991455078125
1595379035.4683447,157.0,285.41082763671875
1595379130.712613,158.0,288.41094970703125
1595379226.0198185,159.0,291.7264709472656
1595379322.2763646,160.0,295.18115234375
1595379417.9885385,161.0,297.6719055175781
1595379513.3594148,162.0,300.6897277832031
1595379609.116453,163.0,303.61376953125
1595379704.1553414,164.0,306.7319641113281
1595379799.3200436,165.0,310.261962890625
1595379894.1872532,166.0,313.32977294921875
1595379989.4455366,167.0,315.52374267578125
1595380085.3413448,168.0,318.0419921875
1595380181.6777694,169.0,321.0558166503906
1595380276.6101286,170.0,323.5699157714844
1595380372.1714509,171.0,326.2274169921875
1595380466.5610447,172.0,328.95318603515625
1595380562.4622262,173.0,332.2221984863281
1595380657.4351938,174.0,335.00054931640625
1595380752.6142015,175.0,337.18798828125
1595380848.4337232,176.0,339.23187255859375
1595380944.3677065,177.0,341.65069580078125
1595381039.6817467,178.0,344.7782897949219
1595381136.1317694,179.0,347.77105712890625
1595381231.6621087,180.0,350.6155700683594
1595381327.2509015,181.0,353.0283203125
1595381422.5881536,182.0,354.75
1595381518.1110923,183.0,357.3408203125
1595381613.9697454,184.0,360.071044921875
1595381708.8574073,185.0,362.7276306152344
1595381804.5900652,186.0,365.6248779296875
1595381899.7824154,187.0,367.6983947753906
1595381995.0235255,188.0,369.7633361816406
1595382090.4753325,189.0,372.1064758300781
1595382187.0389645,190.0,374.4896545410156
1595382282.3665783,191.0,376.1507873535156
1595382378.870344,192.0,378.4815673828125
1595382474.4409382,193.0,381.6527099609375
1595382570.4958973,194.0,383.3658447265625
1595382667.1227539,195.0,386.0517578125
1595382762.1448774,196.0,388.591064453125
1595382858.867213,197.0,390.4801940917969
1595382953.6586885,198.0,392.3468933105469
1595383049.1433766,199.0,394.47064208984375
1595383144.7315652,200.0,396.5142822265625
1595383240.536211,201.0,399.18701171875
1595383336.8973129,202.0,401.6984252929688
1595383431.809203,203.0,404.1780700683594
1595383527.3094804,204.0,406.8463745117188
1595383623.4724681,205.0,409.1437377929688
1595383718.3217099,206.0,410.4494018554688
1595383814.0472395,207.0,412.4454345703125
1595383910.0242064,208.0,414.01849365234375
1595384005.244564,209.0,416.5887145996094
1595384100.5172822,210.0,419.1993408203125
1595384196.5997162,211.0,421.4762573242188
1595384291.9175675,212.0,424.16192626953125
