Wall time,Step,Value
1595634545.9659634,0.0,0.10000000149011612
1595634646.6333575,1.0,0.5107999742031097
1595634747.704845,2.0,0.6296499967575073
1595634848.3070273,3.0,0.6838499903678894
1595634949.6712034,4.0,0.743149995803833
1595635051.2067432,5.0,0.755950003862381
1595635152.5644417,6.0,0.7849000096321106
1595635254.7665062,7.0,0.796099990606308
1595635356.1520875,8.0,0.7978500127792358
1595635457.717389,9.0,0.7958000004291534
1595635558.905388,10.0,0.8159500062465668
1595635660.7102926,11.0,0.8232000172138214
1595635761.6596017,12.0,0.8262499868869781
1595635863.1115842,13.0,0.8302000164985657
1595635964.2631097,14.0,0.830949991941452
1595636065.2889476,15.0,0.846450001001358
1595636166.9193025,16.0,0.8449999988079071
1595636268.5230715,17.0,0.8439500033855438
1595636369.7771125,18.0,0.8486000001430511
1595636471.1425369,19.0,0.8501999974250793
1595636572.5076284,20.0,0.8522000014781952
1595636673.0130243,21.0,0.8572999835014343
1595636774.4827461,22.0,0.8586999773979187
1595636875.466966,23.0,0.8706499934196472
1595636976.9998047,24.0,0.8623500168323517
1595637078.1590834,25.0,0.8650500178337097
1595637179.7994504,26.0,0.8669500052928925
1595637281.5512705,27.0,0.8737999796867371
1595637382.7017465,28.0,0.8728500008583069
1595637484.0950327,29.0,0.8652999997138977
1595637585.368537,30.0,0.8643499910831451
1595637686.7073417,31.0,0.8745999932289124
1595637788.610043,32.0,0.8693999946117401
1595637889.9009004,33.0,0.871099978685379
1595637990.9662447,34.0,0.8795999884605408
1595638092.0737607,35.0,0.8796499967575073
1595638193.7275493,36.0,0.871749997138977
1595638295.085957,37.0,0.8673000037670135
1595638397.0891535,38.0,0.8700999915599823
1595638498.0179913,39.0,0.8779000043869019
1595638599.312408,40.0,0.8742499947547913
1595638700.6167953,41.0,0.8725000023841858
1595638802.3249269,42.0,0.8834999799728394
1595638903.7608256,43.0,0.8804999887943268
1595639005.397421,44.0,0.8684500157833099
1595639107.110529,45.0,0.8855500221252441
1595639209.0329854,46.0,0.8779000043869019
1595639310.508496,47.0,0.8792999982833862
1595639411.9167252,48.0,0.8796000182628632
1595639514.4097533,49.0,0.8727500140666962
1595639613.7788386,50.0,0.882999986410141
1595639711.4071755,51.0,0.882099986076355
1595639809.0002503,52.0,0.8823499977588654
1595639906.9672627,53.0,0.8774499893188477
1595640004.0586836,54.0,0.8917999863624573
1595640101.917564,55.0,0.8639000058174133
1595640199.3309221,56.0,0.8913500010967255
1595640297.0928245,57.0,0.87745001912117
1595640394.74564,58.0,0.8839000165462494
1595640491.9224067,59.0,0.8851500153541565
1595640589.673552,60.0,0.8851000070571899
1595640686.7128768,61.0,0.8792999982833862
1595640784.2412472,62.0,0.8726499974727631
1595640881.7728984,63.0,0.8810499906539917
1595640979.3308651,64.0,0.8826499879360199
1595641076.5082965,65.0,0.8822000026702881
1595641174.2097487,66.0,0.8884499967098236
1595641271.5519724,67.0,0.8865500092506409
1595641368.6566725,68.0,0.8795499801635742
1595641465.8270369,69.0,0.8869999945163727
