Wall time,Step,Value
1594428912.264718,101,20.49069595336914
1594429023.1519978,102,35.348060607910156
1594429133.1814377,103,46.701900482177734
1594429243.84201,104,57.26557922363281
1594429355.5380855,105,66.56454467773438
1594429465.9930155,106,75.15101623535156
1594429576.4812105,107,83.85304260253906
1594429688.6338627,108,91.743408203125
1594429798.4551697,109,98.78607177734375
1594429909.1397727,110,106.48613739013672
1594430019.1469479,111,113.66827392578125
1594430130.2318733,112,120.17892456054688
1594430239.9440014,113,126.75833129882812
1594430351.619916,114,133.1339874267578
1594430463.045873,115,139.15354919433594
1594430574.0142002,116,145.32261657714844
1594430684.555146,117,151.13119506835938
1594430796.2191875,118,157.20010375976562
1594430907.224506,119,162.90919494628906
1594431018.3153052,120,168.34347534179688
1594431129.8837814,121,174.57273864746094
1594431239.9887252,122,179.42779541015625
1594431350.7836735,123,184.19229125976562
1594431461.1376905,124,189.59471130371094
1594431572.205392,125,195.00469970703125
1594431682.1632373,126,200.5653839111328
1594431792.8262475,127,206.01475524902344
1594431903.9472368,128,210.85470581054688
1594432014.322942,129,216.07066345214844
1594432126.385703,130,221.349609375
1594432237.4368336,131,226.7846221923828
1594432348.5637114,132,231.13059997558594
1594432459.4194782,133,236.11102294921875
1594432569.7566352,134,241.4143524169922
1594432681.105517,135,246.11688232421875
1594432791.598078,136,251.2474365234375
1594432903.3236794,137,255.93167114257812
1594433013.9984381,138,260.21588134765625
1594433126.0587063,139,265.69549560546875
1594433237.3786016,140,270.77301025390625
1594433347.9142313,141,275.02728271484375
1594433459.3673456,142,280.0673828125
1594433570.1048267,143,285.2872619628906
1594433680.4825904,144,289.660888671875
1594433790.8747706,145,294.5553283691406
1594433901.6110268,146,299.2449951171875
1594434013.005036,147,303.90673828125
1594434123.571936,148,308.1028747558594
1594434234.2212963,149,312.28875732421875
1594434345.2569523,150,317.0671081542969
1594434455.3786294,151,322.25732421875
1594434564.8951664,152,326.218505859375
1594434674.8785386,153,330.85382080078125
1594434785.3481462,154,335.20440673828125
1594434896.4720204,155,340.0356140136719
1594435006.9268305,156,344.697509765625
1594435117.3947773,157,348.5342712402344
1594435227.0692406,158,352.5823974609375
1594435338.6288643,159,357.1407165527344
1594435449.9083571,160,360.7024841308594
1594435559.9927425,161,365.1168212890625
1594435670.979917,162,368.8714599609375
1594435781.6732492,163,373.27392578125
1594435892.3028307,164,378.00811767578125
1594436002.3179276,165,381.9441833496094
1594436112.7709622,166,386.3841857910156
1594436224.0344303,167,389.997314453125
1594436334.370947,168,394.083251953125
1594436444.944079,169,398.05914306640625
1594436556.2983978,170,401.8497314453125
1594436667.5169687,171,405.6068420410156
1594436778.3872168,172,408.9412841796875
1594436889.5645144,173,412.5835876464844
1594437001.5076373,174,417.0539855957031
1594437112.2962778,175,420.67193603515625
1594437222.8393922,176,424.4143371582031
1594437334.20058,177,428.6890563964844
1594437445.5695417,178,432.719482421875
1594437556.625144,179,435.9961242675781
1594437667.511368,180,439.549560546875
1594437777.7811728,181,443.40765380859375
1594437888.4129717,182,446.97222900390625
1594437999.4589353,183,451.34246826171875
1594438109.4879384,184,455.4011535644531
1594438220.5541003,185,458.8014221191406
1594438332.0345044,186,461.56500244140625
1594438443.247432,187,465.8548583984375
1594438554.5011706,188,469.4582214355469
1594438665.5311582,189,473.5317687988281
1594438777.0628107,190,476.9975280761719
1594438888.5499575,191,480.8736877441406
1594438999.6750515,192,484.2044982910156
1594439109.7576287,193,488.55804443359375
1594439220.784661,194,491.7213134765625
1594439331.7146935,195,495.3050231933594
1594439442.2632897,196,498.7048034667969
1594439553.4100327,197,502.060791015625
1594439663.553349,198,505.5353698730469
1594439774.6236382,199,509.97235107421875
1594439885.1315138,200,513.151611328125
